Month,Year,GP_Index_No,pluno,Item_Name,Net_Qty,O_B,Closing_Stock
November,2023,II/018575P,18575,ALUMINIUM FOIL 21 MTR    PAM,37,201,264
November,2023,II/018576Q,18576,ALUMINIUM FOIL 9 MTR 300MM,8,94,86
November,2023,II/020939B,20939,BAJAJ C/FAN NOVELLA EE ELEGANT,1,1,0
November,2023,II/021117S,21117,J M G PHILIPS HL 1631,1,1,0
November,2023,II/021190H,21190,HANDBLENDER INALAS ROBOT 300,2,2,0
November,2023,II/021292Y,21292,OTG SUNFLAME 1600,1,1,0
November,2023,II/021323P,21323,PHILIPS M/HL 7705 JUICER,1,1,0
November,2023,II/021348S,21348,IMERS/HEATER SUNFLAME 1KW,19,65,46
November,2023,II/021543P,21543,GOODKNIGHT COMBI MACHINE+RIFIL,15,37,70
November,2023,II/021558T,21558,MOSQUITO REFIL GOODNIGHT 45ML,120,120,360
November,2023,II/021609M,21609,MAXO A GRADE 60 NIGHT LIQUID,2,14,12
November,2023,II/021712T,21712,HAIR DRYER PHILIPS 4381/PB,1,11,10
November,2023,II/026303S,26303,TEA STRANINER BIG  S/S,9,58,49
November,2023,II/027006K,27006,JUGNU N/BALL 500GM,22,40,58
November,2023,II/027027E,27027,EXO DISH WASH BAR 325G,104,546,442
November,2023,II/027076P,27076,CLEANING BAR VIM 288 GMS.,33,133,100
November,2023,II/027088H,27088,CLEAN BAR PRIL  400G,114,198,84
November,2023,II/027099H,27099,COLIN GLASS CLEANER 500 M L,9,43,34
November,2023,II/027107E,27107,PHENYLE TIGER 1 LTR,11,12,21
November,2023,II/027108L,27108,NAPTHELENE BALLS 500 GMS PKT,10,37,27
November,2023,II/027128A,27128,ADMIRAL GLASS CLEANER 500 ML,2,7,5
November,2023,II/027130L,27130,HARPIC TOILET CLEANER 500 ML,25,25,120
November,2023,II/027157U,27157,UNI STEEL SCRUB,9,200,191
November,2023,II/027158R,27158,SCRUB FAST SC PED,35,120,205
November,2023,II/027181X,27181,LIQUID MOSQUITO REPL. 45 ML,71,200,329
November,2023,II/027198H,27198,BAYGON CHAWLING I/KILLER 320ML,8,8,36
November,2023,II/027199Y,27199,BAYGON FLYING I/KILLER 320ML,18,18,0
November,2023,II/027204M,27204,MORTEIN POWER GUARD COMBI PACK,2,69,139
November,2023,II/027319A,27319,HARPIC BATHROOM CLEANER 500 ML,44,68,24
November,2023,II/027335A,27335,PAM AIR FRESHNER SANDAL 275ML,4,22,18
November,2023,II/027340S,27340,POLOQUEEN SUDH STAINLESS STEEL,17,306,289
November,2023,II/027343U,27343,VIP CLOTH CLIP,5,71,66
November,2023,II/027350T,27350,POLOQUEEN SHUDH DISH WASH SOAP,9,19,10
November,2023,II/027353E,27353,DAILY CARE JUMBO CLOTH CLIP 12 PCS,59,185,126
November,2023,II/027491D,27491,DAILY CARE BRAND 24 CLIP F/HANGER,5,40,35
November,2023,II/028067H,28067,BRASSO NO-2 100 ML,6,74,68
November,2023,III/002094V,2094,VIP SHOE POLISH BRUSH,1,20,19
November,2023,III/034035N,34035,PLASTIC MUG 1LTR NEW SITI,9,288,567
November,2023,III/034302C,34302,CELLO GO YO WATTER BOTTLE 900ML,4,59,55
November,2023,III/034319H,34319,MAHEK WATER BOTTLE DESIGNER,14,45,31
November,2023,III/034357D,34357,DAILY CARE BATHING STOOL,5,24,19
November,2023,III/034395M,34395,MAHER CHOP & COOK CHOPPING BOARD,2,51,49
November,2023,III/034483G,34483,GALA KITCHEN MUPPY,2,170,168
November,2023,III/034490D,34490,DAILY CARE FLOOR WIPER,3,81,78
November,2023,III/034491S,34491,SPOTZERO FLOOR WATER WIPER,3,12,9
November,2023,III/037310S,37310,SKYBAG SOFT LUGGAGE NEON BACKPACK,14,17,13
November,2023,III/037424A,37424,BAG AMERICAN TURISTER  BACKPACK,5,11,16
November,2023,III/037517D,37517,NEON BKPK SCHOOL GREY,8,20,12
November,2023,III/040255I,40255,TOWEL ARJOI SOFTY,5,80,75
November,2023,III/041057P,41057,VEST RUPA (041057)RIBLINE 95 CMS,13,160,147
November,2023,III/041084K,41084,VEST WHITE RIB 90&95CM,15,148,293
November,2023,III/041132Y,41132,DOLLAR BIGBOSS GYM VEST RN XL,6,6,0
November,2023,III/041135S,41135,DOLLAR LEHAR VEST RN 100CM,11,153,142
November,2023,III/041629R,41629,DOLLAR BIGBOSS INTERLOCK TRUNK 90CM,45,137,92
November,2023,III/041630T,41630,DOLLAR BIGBOSS BRIEF T/E 90CM,17,153,296
November,2023,III/041633T,41633,DOLLAR MISSY PANTY SMALL PACK 2,7,158,151
November,2023,III/041634Y,41634,DOLLAR MISSY PANTY MED PACK 2,4,159,155
November,2023,III/041715A,41715,VEST SAGAR(041715) COZY 95 CMS,9,154,305
November,2023,III/041717L,41717,VEST SAGAR 95 CMS,7,160,313
November,2023,III/041986M,41986,MONTE CARLO   SPORTS SOCKS  M&L,12,96,180
November,2023,III/041988M,41988,MONTE CARLO SOCKS (PACK OF 3) M&L,6,41,35
November,2023,III/043099S,43099,NEW STAR DOOR MATS 14.50''X22.50'',2,20,18
November,2023,III/043100I,43100,SAGAR DOORMAT SIZE 17.50 X 29.50,2,20,18
November,2023,III/045113R,45113,SE PP TIGHT WOMEN,1,10,9
November,2023,III/045255A,45255,T-SHIRT ADIDAS LARGE NAVY BLUE,1,7,6
November,2023,III/045292P,45292,ADIDAS SHORT MEDIUM NAVY BLUE,2,22,20
November,2023,III/045404A,45404,POCHHA 555 FLOOR,9,150,291
November,2023,III/045409M,45409,SUPER ABSORBER MOP PVA SPONGE,1,3,2
November,2023,III/045412G,45412,QUICK SPIN MOP SMARTY  GALA,1,1,0
November,2023,III/045427G,45427,GALA NO DUST ROOM,3,48,45
November,2023,III/045447K,45447,DR GUARD GRASS BROOM 42,26,32,6
